name,total_score,priority
Смирнов Алексей Иванович,355,1
Васильев Борис Петрович,345,2
Кузнецов Виктор Сергеевич,335,1
Попова Галина Андреевна,325,3
Новикова Дарья Михайловна,315,2
Михайлов Евгений Алексеевич,305,1
Фролова Жанна Викторовна,295,4
Богданов Захар Дмитриевич,285,3
Воробьев Иван Николаевич,275,2
Семенова Ксения Олеговна,265,1
Григорьев Леонид Павлович,255,5
Алексеева Марина Владимировна,245,3
Дмитриев Никита Андреевич,235,2
Комаров Ольга Юрьевна,225,1
Орлов Павел Александрович,215,4
Ковалев Роман Александрович,360,1
Леонтьева Татьяна Игоревна,298,3
Петрова Юлия Викторовна,320,2
Соколов Роман Игоревич,280,1
Власов Андрей Николаевич,340,3
