name,total_score,priority
Иванов Иван Иванович,355,1
Петров Петр Петрович,345,2
Сидоров Сидор Сидорович,340,1
Козлов Алексей Сергеевич,325,3
Морозова Анна Викторовна,320,2
Волков Дмитрий Андреевич,305,1
Федорова Елена Николаевна,300,4
Попов Максим Игоревич,285,3
Соколова Ольга Владимировна,280,2
Никитин Артем Александрович,265,1
Зайцева Татьяна Сергеевна,260,5
Беляев Виктор Петрович,245,3
Яковлева Наталья Михайловна,240,2
Лебедев Сергей Алексеевич,225,1
Егорова Мария Дмитриевна,220,4
Новиков Андрей Алексеевич,365,1
Михайлова Ирина Валерьевна,303,3
Васильева Ксения Олеговна,310,2
Алексеев Олег Викторович,275,1
